00096	MEMPHIS MADE LUCID 32 OZ			32OZ	000400000011	18	6.59	0.00	1	0.00	-9	0400000011	BEER	BEER	GROWLERS	MEM	0.00	Y																				0.1533		0.00														0			-9			AbDILOSW	0	00400000011	2015-10-19				1	9.2500											
00097	BLUE PANTS PEANUT BUTTER 64 OZ			EACH	004000188009	1	12.99	0.00	1	0.00	0	4000188009	BEER	BEER	GROWLERS	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	04000188009	2015-10-19				0	9.2500											
00098	DOGFISH HEAD 60 MIN 32 OZ			EACH	400020140781	48	5.99	5.99	1	5.99	0	400020140781	BEER	BEER	GROWLERS	EAG	0.00	Y																				3.5200		0.00														0			0			AbDILOSW	0	400020140781	2015-10-19				0	9.2500											
00099	SCHLAFLY SEASONAL BEER 32 OZ			32OZ	000040008311	1	5.29	0.00	48	0.00	0	0040008311	BEER	BEER	GROWLERS	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	00040008311	2015-10-19				1	9.2500											
00100	LAGUNITAS SUMP EX 32 OZ			EACH	000040007311	48	5.99	5.99	1	5.99	-6	0004000731	BEER	BEER	GROWLERS	OMN	0.00	Y																				3.2300		0.00														0			-6			AbDILOSW	0	000040007311	2015-10-19				0	9.2500											
00101	MEMPHIS MADE ALL SEWN UP 64 OZ			EACH	004000316836	24	8.19	8.19	1	8.19	-2	4000316836	BEER	BEER	GROWLERS	MEM	0.00	Y																				5.6300		0.00														0			-2			AbDILOSW	0	04000316836	2015-10-19				0	9.2500											
00102	WISE TARASQUE 32 OZ			EACH	400025720781	1	4.99	4.99	1	4.99	0	400025720781	BEER	BEER	GROWLERS	UNK	0.00	Y																				2.3300		0.00														0			0			AbDILOSW	0	400025720781	2015-10-19				0	9.2500											
00103	BLUE PANTS GOLDCREST 64 1/2			EACH	000040001630	24	9.89	0.00	1	0.00	0	0004000163	BEER	BEER	GROWLERS	ATH	0.00	Y																				6.1300		0.00														0			0			AbDILOSW	0	000040001630	2015-10-19				0	9.2500											
00104	LAGUNITAS CITRUS 64 OZ			EACH	000004000798	1	14.89	0.00	1	0.00	0	0004000798	BEER	BEER	GROWLERS	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	00004000798	2015-10-19				0	9.2500											
00105	TALLGRASS ETHOSE 32 OZ			EACH	400078420781	48	5.49	5.49	1	5.49	0	400078420781	BEER	BEER	GROWLERS	EAG	0.00	Y																				3.1300		0.00														0			0			AbDILOSW	0	400078420781	2015-10-19				0	9.2500											
00106	BLUE PANTS PEANUT BUTTER 32 OZ			EACH	040001880092	1	6.99	0.00	1	0.00	0	0001880092	BEER	BEER	GROWLERS	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	40001880092	2015-10-19				0	9.2500											
00107	STIEGL RADLER 64 OZ			EACH	000040005032	24	11.39	11.39	1	11.39	-2	0040005032	BEER	BEER	GROWLERS	ATH	0.00	Y																				7.0800		0.00														0			-2			AbDILOSW	0	00040005032	2015-10-19				0	9.2500											
